Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Weekly_Sales_Increased,Labour_Cost,Product_Cost,Maintenance_Cost,Profit,Temperature_Celsius
1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,1758749.263,470095.5973999999,641039.451,203817.6716,328738.17999999993,5.727777777777779
1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,1756894.4608,469599.8278399999,640363.4016,203602.72256,328391.4880000001,3.6166666666666654
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,1724805.9419,461022.89661999996,628667.5863,199884.05307999998,322393.6340000001,4.405555555555555
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,1508408.5213000001,403182.09074,549793.7601000001,174806.22116000002,281945.5179999999,8.127777777777778
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,1663643.1476,444674.71047999995,606374.6052,192796.02831999998,310961.3359999999,8.055555555555555
1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,1540309.5013000001,411708.89474,561421.2201,178503.15716,287908.31799999997,14.327777777777776
1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,1575591.8953000002,421139.51593999995,574281.1581,182591.95796,294503.15800000005,12.544444444444444
1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,1502740.0144,401666.9571199999,547727.6688,174149.31008,280885.98399999994,10.805555555555557
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,1706616.0596,456160.92808,622037.6292000001,197776.06672,318993.65599999996,16.81666666666667
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,1653597.8271,441989.69957999996,602713.2267,191631.89772,309083.706,18.811111111111114
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,1568682.3596,419292.66808,571762.7292000001,181791.22672,293211.65599999996,19.066666666666663
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,1488644.0484000002,397899.25032,542589.8868000001,172515.75888,278251.22399999993,18.244444444444447
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,1524857.7597,407578.80305999995,555789.2769,176712.48804,285020.142,19.67222222222222
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,1716231.9784000001,458731.16432,625542.4968000001,198890.43488000002,320791.024,22.52777777777778
